Country,Clicks,Impressions,CTR,Position
United Kingdom,13,995,1.31%,21.11
United States,4,3342,0.12%,18.39
Germany,3,583,0.51%,19.31
Netherlands,2,415,0.48%,13.14
France,2,156,1.28%,18.99
Ireland,2,66,3.03%,24.58
Australia,1,228,0.44%,31.34
Spain,1,134,0.75%,17.72
Italy,1,102,0.98%,10.72
India,1,74,1.35%,18.19
Mexico,1,46,2.17%,10.59
Belgium,1,41,2.44%,6.59
Argentina,1,29,3.45%,11.17
Portugal,1,25,4%,8.4
Egypt,1,18,5.56%,7.61
Finland,1,10,10%,6.5
Canada,0,166,0%,15.54
Poland,0,96,0%,8.33
Brazil,0,74,0%,9.62
Vietnam,0,74,0%,17.09
Sweden,0,73,0%,23.95
Saudi Arabia,0,64,0%,69.73
Singapore,0,52,0%,16.69
Japan,0,40,0%,6.83
Indonesia,0,31,0%,15.94
United Arab Emirates,0,30,0%,26.03
Colombia,0,29,0%,9.66
Philippines,0,25,0%,9.68
Pakistan,0,25,0%,15.2
Bangladesh,0,24,0%,19.67
Malaysia,0,24,0%,28.62
Switzerland,0,21,0%,10.67
Thailand,0,20,0%,8.7
Austria,0,20,0%,22.25
Taiwan,0,19,0%,8.05
Croatia,0,18,0%,6.11
China,0,18,0%,8.28
Norway,0,18,0%,13.56
New Zealand,0,18,0%,17.11
Hong Kong,0,15,0%,14
Morocco,0,15,0%,15.8
Romania,0,15,0%,41.2
Denmark,0,14,0%,10.79
Hungary,0,14,0%,11.29
South Korea,0,14,0%,11.29
Ukraine,0,13,0%,6.46
Chile,0,12,0%,7.42
Ecuador,0,12,0%,9.17
Israel,0,11,0%,16.36
Nigeria,0,11,0%,60
Czechia,0,10,0%,7.2
Russia,0,10,0%,19.2
Bulgaria,0,9,0%,7.22
South Africa,0,9,0%,11.44
Turkey,0,8,0%,7.75
Estonia,0,8,0%,8.62
Slovenia,0,8,0%,9.12
Lithuania,0,8,0%,46.38
Slovakia,0,7,0%,7.14
Dominican Republic,0,7,0%,9.29
Jamaica,0,6,0%,7.33
Kenya,0,6,0%,7.5
Greece,0,6,0%,9.5
Iraq,0,6,0%,19.83
Algeria,0,6,0%,21
Guatemala,0,5,0%,4
Bahamas,0,5,0%,4.8
Peru,0,5,0%,5.6
Iran,0,5,0%,6.2
Uganda,0,5,0%,8.2
Kazakhstan,0,5,0%,9.4
Jordan,0,5,0%,12.2
Albania,0,4,0%,2.75
Costa Rica,0,4,0%,4
Armenia,0,4,0%,6.25
Ethiopia,0,4,0%,6.25
Latvia,0,4,0%,6.25
Kyrgyzstan,0,4,0%,7.75
Venezuela,0,4,0%,10.75
Panama,0,4,0%,11.75
Uruguay,0,4,0%,22
Isle of Man,0,3,0%,5.33
Mongolia,0,3,0%,7
Malta,0,3,0%,7.33
Maldives,0,3,0%,9
Luxembourg,0,3,0%,20.67
Congo - Brazzaville,0,3,0%,36.33
Bolivia,0,2,0%,4
Serbia,0,2,0%,5
Mauritius,0,2,0%,5.5
Sri Lanka,0,2,0%,6
El Salvador,0,2,0%,6
Cambodia,0,2,0%,7
Angola,0,2,0%,7.5
Ghana,0,2,0%,8.5
Lebanon,0,2,0%,9
Iceland,0,2,0%,9.5
Barbados,0,2,0%,10
Tunisia,0,2,0%,21.5
Nepal,0,2,0%,27
Georgia,0,2,0%,29
Belize,0,1,0%,1
Puerto Rico,0,1,0%,1
Antigua & Barbuda,0,1,0%,2
Bahrain,0,1,0%,2
Zimbabwe,0,1,0%,3
Fiji,0,1,0%,6
Guernsey,0,1,0%,6
Suriname,0,1,0%,6
Honduras,0,1,0%,7
Trinidad & Tobago,0,1,0%,7
Azerbaijan,0,1,0%,8
St. Lucia,0,1,0%,8
Moldova,0,1,0%,8
Palestine,0,1,0%,8
Kosovo,0,1,0%,8
Curaçao,0,1,0%,9
Paraguay,0,1,0%,9
Yemen,0,1,0%,9
Qatar,0,1,0%,10
Cyprus,0,1,0%,11
Oman,0,1,0%,23
Uzbekistan,0,1,0%,23
Nicaragua,0,1,0%,37
Senegal,0,1,0%,45
